Price,Close,High,Low,Open,Volume
Ticker,ALO.PA,ALO.PA,ALO.PA,ALO.PA,ALO.PA
Date,,,,,
2025-06-30,19.799999237060547,20.139999389648438,19.735000610351562,20.0,1369541
2025-07-01,19.325000762939453,19.725000381469727,19.219999313354492,19.719999313354492,1376462
2025-07-02,19.635000228881836,19.860000610351562,19.43000030517578,19.510000228881836,1255038
2025-07-03,19.09000015258789,19.854999542236328,19.09000015258789,19.760000228881836,1512200
2025-07-04,19.139999389648438,19.360000610351562,19.079999923706055,19.200000762939453,947780
