Price,Close,High,Low,Open,Volume
Ticker,TTE.PA,TTE.PA,TTE.PA,TTE.PA,TTE.PA
Date,,,,,
2025-06-30,52.099998474121094,52.689998626708984,52.099998474121094,52.61000061035156,4457375
2025-07-01,52.349998474121094,52.439998626708984,51.95000076293945,52.310001373291016,2969537
2025-07-02,53.380001068115234,53.79999923706055,52.689998626708984,52.810001373291016,3997576
2025-07-03,53.369998931884766,53.97999954223633,53.209999084472656,53.959999084472656,3065613
2025-07-04,52.970001220703125,53.25,52.90999984741211,53.0099983215332,2363900
