Price,Close,High,Low,Open,Volume
Ticker,EN.PA,EN.PA,EN.PA,EN.PA,EN.PA
Date,,,,,
2025-06-30,38.400001525878906,38.689998626708984,38.08000183105469,38.61000061035156,1020641
2025-07-01,38.619998931884766,38.70000076293945,38.29999923706055,38.5099983215332,664464
2025-07-02,39.08000183105469,39.18000030517578,38.70000076293945,38.869998931884766,871230
2025-07-03,39.13999938964844,39.22999954223633,38.66999816894531,39.04999923706055,542848
2025-07-04,39.04999923706055,39.16999816894531,38.790000915527344,39.040000915527344,472445
