Price,Close,High,Low,Open,Volume
Ticker,EL.PA,EL.PA,EL.PA,EL.PA,EL.PA
Date,,,,,
2025-06-30,232.89999389648438,235.60000610351562,232.8000030517578,234.5,591065
2025-07-01,234.89999389648438,235.5,231.8000030517578,233.8000030517578,412773
2025-07-02,236.6999969482422,237.89999389648438,234.1999969482422,237.0,430902
2025-07-03,235.60000610351562,237.8000030517578,234.1999969482422,236.6999969482422,332203
2025-07-04,233.39999389648438,234.39999389648438,232.3000030517578,233.6999969482422,378375
