Price,Close,High,Low,Open,Volume
Ticker,CS.PA,CS.PA,CS.PA,CS.PA,CS.PA
Date,,,,,
2025-06-30,41.66999816894531,42.15999984741211,41.40999984741211,42.11000061035156,3922881
2025-07-01,41.060001373291016,41.90999984741211,41.060001373291016,41.869998931884766,3417371
2025-07-02,40.63999938964844,41.599998474121094,40.619998931884766,41.439998626708984,4796809
2025-07-03,41.400001525878906,41.400001525878906,40.7599983215332,40.84000015258789,3463535
2025-07-04,41.0,41.380001068115234,40.93000030517578,41.13999938964844,2069327
