Price,Close,High,Low,Open,Volume
Ticker,HO.PA,HO.PA,HO.PA,HO.PA,HO.PA
Date,,,,,
2025-06-30,249.60000610351562,251.0,247.6999969482422,249.1999969482422,285158
2025-07-01,236.3000030517578,248.60000610351562,236.3000030517578,248.60000610351562,457320
2025-07-02,238.3000030517578,238.89999389648438,233.89999389648438,235.6999969482422,330620
2025-07-03,243.39999389648438,243.6999969482422,239.1999969482422,240.6999969482422,267015
2025-07-04,244.60000610351562,245.8000030517578,241.6999969482422,242.0,215139
