Price,Close,High,Low,Open,Volume
Ticker,AIR.PA,AIR.PA,AIR.PA,AIR.PA,AIR.PA
Date,,,,,
2025-06-30,177.25999450683594,178.5399932861328,176.89999389648438,178.4199981689453,1137708
2025-07-01,172.32000732421875,177.82000732421875,171.89999389648438,177.5399932861328,916384
2025-07-02,175.17999267578125,175.9600067138672,173.0399932861328,173.13999938964844,810499
2025-07-03,176.75999450683594,177.1199951171875,174.36000061035156,176.0,813313
2025-07-04,175.3800048828125,175.9600067138672,174.33999633789062,175.0,527620
