Price,Close,High,Low,Open,Volume
Ticker,KER.PA,KER.PA,KER.PA,KER.PA,KER.PA
Date,,,,,
2025-06-30,184.55999755859375,188.60000610351562,183.52000427246094,184.83999633789062,435348
2025-07-01,195.52000427246094,195.52000427246094,183.6199951171875,184.05999755859375,472237
2025-07-02,202.64999389648438,203.5,195.39999389648438,197.75999450683594,441552
2025-07-03,198.44000244140625,205.0,198.22000122070312,204.39999389648438,325972
2025-07-04,198.13999938964844,198.6999969482422,193.67999267578125,197.10000610351562,245695
