Price,Close,High,Low,Open,Volume
Ticker,VIE.PA,VIE.PA,VIE.PA,VIE.PA,VIE.PA
Date,,,,,
2025-06-30,30.25,30.760000228881836,30.25,30.760000228881836,2151575
2025-07-01,30.479999542236328,30.479999542236328,30.149999618530273,30.399999618530273,1366296
2025-07-02,30.5,30.860000610351562,30.5,30.639999389648438,1588076
2025-07-03,30.469999313354492,30.760000228881836,30.40999984741211,30.600000381469727,1567066
2025-07-04,30.479999542236328,30.489999771118164,30.200000762939453,30.280000686645508,1749665
