Price,Close,High,Low,Open,Volume
Ticker,SU.PA,SU.PA,SU.PA,SU.PA,SU.PA
Date,,,,,
2025-08-01,213.89999389648438,226.14999389648438,212.60000610351562,224.4499969482422,1725570
2025-08-04,219.3000030517578,219.4499969482422,214.75,215.35000610351562,1159790
2025-08-05,214.8000030517578,221.39999389648438,214.25,220.39999389648438,869800
2025-08-06,214.85000610351562,216.3000030517578,211.6999969482422,216.3000030517578,803290
2025-08-07,220.3000030517578,221.6999969482422,216.60000610351562,216.64999389648438,1685633
