Price,Close,High,Low,Open,Volume
Ticker,ORA.PA,ORA.PA,ORA.PA,ORA.PA,ORA.PA
Date,,,,,
2025-08-01,13.824999809265137,13.824999809265137,13.385000228881836,13.420000076293945,11358118
2025-08-04,13.734999656677246,13.835000038146973,13.720000267028809,13.789999961853027,5443421
2025-08-05,13.774999618530273,13.854999542236328,13.6850004196167,13.770000457763672,3170070
2025-08-06,13.890000343322754,13.96500015258789,13.694999694824219,13.765000343322754,4390668
2025-08-07,13.8100004196167,13.885000228881836,13.640000343322754,13.850000381469727,4853883
