Price,Close,High,Low,Open,Volume
Ticker,EL.PA,EL.PA,EL.PA,EL.PA,EL.PA
Date,,,,,
2025-08-01,255.3000030517578,260.8999938964844,254.39999389648438,259.5,608013
2025-08-04,256.20001220703125,258.29998779296875,254.0,256.1000061035156,368299
2025-08-05,252.89999389648438,257.20001220703125,252.8000030517578,256.6000061035156,349052
2025-08-06,249.3000030517578,253.3000030517578,248.3000030517578,253.1999969482422,347856
2025-08-07,252.1999969482422,254.39999389648438,248.89999389648438,249.3000030517578,327869
