Price,Close,High,Low,Open,Volume
Ticker,BN.PA,BN.PA,BN.PA,BN.PA,BN.PA
Date,,,,,
2025-08-01,72.5,73.30000305175781,71.69999694824219,72.0,1781834
2025-08-04,73.04000091552734,73.26000213623047,72.08000183105469,72.31999969482422,1265676
2025-08-05,72.31999969482422,73.23999786376953,72.18000030517578,73.22000122070312,1062032
2025-08-06,71.77999877929688,72.22000122070312,71.45999908447266,72.16000366210938,1000532
2025-08-07,71.36000061035156,71.86000061035156,71.0999984741211,71.80000305175781,1198237
