Price,Close,High,Low,Open,Volume
Ticker,CS.PA,CS.PA,CS.PA,CS.PA,CS.PA
Date,,,,,
2025-08-01,39.33000183105469,41.09000015258789,39.15999984741211,40.900001525878906,9196110
2025-08-04,39.97999954223633,40.5,39.619998931884766,39.869998931884766,5144434
2025-08-05,40.599998474121094,40.810001373291016,40.08000183105469,40.2400016784668,3869887
2025-08-06,40.7599983215332,40.93000030517578,40.599998474121094,40.720001220703125,2051039
2025-08-07,41.56999969482422,41.869998931884766,40.970001220703125,41.02000045776367,4154804
