Price,Close,High,Low,Open,Volume
Ticker,OR.PA,OR.PA,OR.PA,OR.PA,OR.PA
Date,,,,,
2025-08-01,376.1000061035156,387.29998779296875,376.1000061035156,387.29998779296875,404407
2025-08-04,379.8500061035156,381.25,375.45001220703125,377.29998779296875,243764
2025-08-05,373.29998779296875,380.5,369.3999938964844,379.6000061035156,308365
2025-08-06,374.6499938964844,375.6499938964844,369.1499938964844,375.6499938964844,307890
2025-08-07,382.1499938964844,384.45001220703125,375.20001220703125,376.3500061035156,229125
