Price,Close,High,Low,Open,Volume
Ticker,VIE.PA,VIE.PA,VIE.PA,VIE.PA,VIE.PA
Date,,,,,
2025-08-01,29.290000915527344,29.729999542236328,29.170000076293945,29.729999542236328,2067755
2025-08-04,29.549999237060547,29.670000076293945,29.239999771118164,29.309999465942383,1332719
2025-08-05,29.540000915527344,29.729999542236328,29.440000534057617,29.600000381469727,1084374
2025-08-06,29.65999984741211,29.780000686645508,29.489999771118164,29.5,1132353
2025-08-07,30.059999465942383,30.079999923706055,29.68000030517578,29.700000762939453,1592930
