Price,Close,High,Low,Open,Volume
Ticker,RI.PA,RI.PA,RI.PA,RI.PA,RI.PA
Date,,,,,
2025-08-01,89.55999755859375,91.0199966430664,89.04000091552734,90.30000305175781,544345
2025-08-04,89.9000015258789,90.05999755859375,89.12000274658203,89.80000305175781,446339
2025-08-05,90.9000015258789,91.77999877929688,89.26000213623047,91.0,527515
2025-08-06,93.0999984741211,93.73999786376953,91.13999938964844,91.18000030517578,526431
2025-08-07,95.27999877929688,95.27999877929688,92.69999694824219,93.77999877929688,339482
