Price,Close,High,Low,Open,Volume
Ticker,AI.PA,AI.PA,AI.PA,AI.PA,AI.PA
Date,,,,,
2025-08-01,170.22000122070312,172.67999267578125,169.75999450683594,172.67999267578125,783323
2025-08-04,172.24000549316406,172.83999633789062,170.9600067138672,171.4600067138672,555957
2025-08-05,173.0,173.22000122070312,172.0800018310547,173.17999267578125,443150
2025-08-06,171.75999450683594,174.0399932861328,171.16000366210938,173.05999755859375,407074
2025-08-07,173.5800018310547,174.5,171.82000732421875,171.82000732421875,426686
